#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features
1,stock photo,us,95,20000,35,9811,0.48,1.13,stock photos,2020-07-19 08:21:41,"Sitelinks, Image pack, People also ask, Top stories, Thumbnails"
2,soldering stock photo,us,4,2000,0,,,,soldering stock photo,2020-07-14 14:13:25,"Image pack, Videos"
3,thumbs up stock photo,us,3,1800,0,293,0.16,1.12,thumbs up stock photo,2020-07-15 02:22:51,"Adwords top, Sitelinks, Image pack"
4,stock photo man,us,10,1600,10,261,0.16,1.15,man stock photo,2020-07-10 09:25:05,"Image pack, Sitelinks, Videos"
5,family stock photo,us,12,1500,20,381,0.25,1.1,family images,2020-07-19 16:17:12,"Adwords top, Sitelinks, Image pack"
6,xname stock photo,us,,1500,,15,0.01,1.04,,,
7,old man stock photo,us,3,1500,50,338,0.23,1.17,pics of old man,2020-07-18 18:54:43,"Adwords top, Sitelinks, Image pack, Videos"
8,stock photo memes,us,4,1400,55,387,0.28,1.29,stock photo meme,2020-07-19 05:16:02,"Image pack, Videos, Top stories, Thumbnails"
9,harold stock photo,us,23,1400,45,462,0.33,1.12,hide the pain harold,2020-07-15 10:15:29,"Top stories, Thumbnails, People also ask, Videos"
10,hacker stock photo,us,3,1400,45,402,0.28,1.3,hacker stock photo,2020-07-18 10:20:17,Image pack
11,man stock photo,us,10,1300,0,340,0.26,1.18,man stock photo,2020-07-13 17:25:04,"Adwords top, Image pack, Videos"
12,money stock photo,us,34,1200,25,280,0.24,1.12,money images,2020-07-16 19:55:05,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnails"
13,doctor stock photo,us,10,1200,25,341,0.28,1.14,doctor stock photography,2020-07-19 22:25:59,"Adwords top, Sitelinks, Image pack"
14,woman stock photo,us,26,1200,25,225,0.19,1.11,pics of women,2020-07-15 02:26:20,"Image pack, Sitelinks, Videos"
15,girl stock photo,us,8,1100,35,153,0.14,1.08,imase girl,2020-07-13 18:00:54,"Image pack, Sitelinks, Videos"
16,stock photo woman,us,26,1100,30,219,0.2,1.16,pics of women,2020-07-18 05:29:06,"Adwords top, Sitelinks, Image pack, Videos"
17,stock photo websites,us,97,1100,20,746,0.65,1.08,unsplash,2020-07-20 07:22:37,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails, Adwords bottom"
18,business stock photo,us,30,1000,,286,0.28,1.12,business images,2020-07-17 12:05:21,"Image pack, Sitelinks, Top stories, Thumbnails"
19,which stock photo site pays the most,us,33,900,,114,0.13,1,best stock photo sites to sell,2020-07-19 09:13:43,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories"
20,cat stock photo,us,31,900,,274,0.3,1.9,cat pictures,2020-07-19 20:30:21,"Adwords top, Sitelinks, Image pack, Videos"
21,car stock photo,us,35,800,,196,0.26,1.16,car images,2020-07-19 09:30:52,"Image pack, Sitelinks"
22,weird stock photo,us,16,800,65,370,0.48,1.19,weird pictures,2020-07-14 01:45:08,"Image pack, Top stories, Thumbnails"
23,suicide stock photo,us,0,700,9,164,0.24,1.21,suicide stock photos,2020-07-13 15:41:46,"Image pack, Videos"
24,stock photo guy,us,16,700,19,180,0.27,1.15,hide the pain harold,2020-07-13 22:57:53,"Featured snippet, Thumbnails, People also ask, Videos"
25,house stock photo,us,12,600,25,160,0.27,1.15,stock houses,2020-07-15 01:59:03,"Adwords top, Sitelinks, Image pack, Videos"
26,lname stock photo,us,,600,,18,0.03,1.06,,,
27,scientist stock photo,us,20,600,0,119,0.21,1.11,science photo library,2020-07-18 04:57:54,"Adwords top, Image pack, Sitelinks"
28,thinking stock photo,us,7,600,,110,0.18,1.18,thinking images,2020-07-17 00:33:29,"Adwords top, Sitelinks, Image pack"
29,christmas stock photo,us,0,600,,207,0.36,1.12,christmas images,2020-07-15 20:20:06,"Adwords top, Sitelinks, Image pack, Videos"
30,wedding stock photo,us,11,500,8,243,0.51,1.13,wedding pictures,2020-07-02 19:24:07,"Image pack, Sitelinks"
