#,"Traffic (desc)","Traffic (Percent %)","# of Keywords","Referring Domains",URL,"Top Keyword","Its Volume",Position,"Page URL inside","Traffic value"
1,249,4,34,1,https://www.shutterstock.com/search/social+worker,"social workers images",200,2,,4997
2,161,3,22,0,https://www.shutterstock.com/search/construction+worker+cartoon,"construction worker cartoon",250,2,,0
3,133,2,120,1,https://www.shutterstock.com/search/construction+worker,"pictures of construction workers",200,5,,33
4,131,2,27,0,https://www.shutterstock.com/search/worker+cartoon,"worker cartoon",150,3,,6
5,130,2,14,0,https://www.shutterstock.com/search/hot+construction+worker,"hot construction worker",350,1,,1
6,116,2,29,0,https://www.shutterstock.com/search/cartoon+office+worker,"office worker cartoon",90,2,,0
7,94,2,62,0,https://www.shutterstock.com/search/construction+worker+clipart?image_type=vector,"construction worker clipart",200,7,,2
8,88,1,14,0,https://www.shutterstock.com/search/naked+construction+worker?image_type=photo,"naked construction workers",300,2,,3
9,88,1,54,1,https://www.shutterstock.com/search/workers,"worker images",100,4,,99
10,84,1,41,0,https://www.shutterstock.com/search/office+workers,"office workers",150,3,,104
11,82,1,28,0,https://www.shutterstock.com/search/construction+worker+silhouette,"worker silhouette",150,5,,0
12,80,1,12,1,https://www.shutterstock.com/search/cartoon+construction+worker,"construction worker cartoon",250,3,,0
13,79,1,20,0,https://www.shutterstock.com/search/worker+logo,"worker logo",100,2,,8
14,78,1,14,0,https://www.shutterstock.com/search/happy+workers+day,"happy workers day",700,2,,0
15,75,1,6,0,https://www.shutterstock.com/search/social+worker+symbol,"social worker symbols",200,3,,37
16,75,1,6,0,https://www.shutterstock.com/search/happy+construction+worker,"cheerful construction worker",400,2,,11
17,72,1,2,0,https://www.shutterstock.com/search/sexy+office+worker,"sexy office workers",200,1,,0
18,71,1,3,0,https://www.shutterstock.com/search/indian+hard+worker,"indian hard",150,1,,9
19,70,1,11,1,https://www.shutterstock.com/search/cartoon+worker,"pics of cartoon worker",80,2,,0
20,69,1,8,0,https://www.shutterstock.com/search/naked+construction+worker,"naked construction worker",350,1,,0
21,63,1,4,0,https://www.shutterstock.com/search/naked+workers,"naked workers",60,1,,0
22,58,0.95,51,0,https://www.shutterstock.com/search/worker+icon,"worker icon",450,7,,1
23,58,0.95,25,1,https://www.shutterstock.com/search/mason+worker,"mason image",150,4,,40
24,55,0.91,5,0,https://www.shutterstock.com/search/social+worker+icons,"social worker symbols",200,4,,0
25,55,0.90,8,2,https://www.shutterstock.com/search/social+work,"social worker image",150,3,,705
26,55,0.90,7,0,https://www.shutterstock.com/search/sexy+construction+worker+man?image_type=photo,"sexy construction guy",100,2,,3
